失業率按性別、教育程度分,,,,,,,,,,,,
,,,,,,,,,,, 單位：%,
年  月  別,,,, 國中及以下,,, 高中(職),,, 專科及以上,,
, 總計, 男, 女, 合計, 國　小, 國　中, 合計, 高　中, 高　職, 合計, 專　科, 大學以上
,,,,, 及以下,,,,,,,
67,  1.67 ,  1.57 ,  1.86 ,  1.03 ,  0.64 ,  2.28 ,  3.69 ,  3.72 ,  3.67 ,  3.15 ,  3.75 ,  2.54 
68,  1.27 ,  1.15 ,  1.53 ,  0.77 ,  0.48 ,  1.62 ,  2.80 ,  2.52 ,  2.94 ,  2.27 ,  2.66 ,  1.86 
69,  1.23 ,  1.11 ,  1.47 ,  0.68 ,  0.40 ,  1.45 ,  2.62 ,  2.31 ,  2.79 ,  2.23 ,  2.51 ,  1.93 
70,  1.36 ,  1.21 ,  1.65 ,  0.81 ,  0.46 ,  1.69 ,  2.72 ,  2.25 ,  2.97 ,  2.23 ,  2.57 ,  1.86 
71,  2.14 ,  2.08 ,  2.25 ,  1.42 ,  0.91 ,  2.66 ,  3.81 ,  3.63 ,  3.89 ,  3.14 ,  3.46 ,  2.78 
72,  2.71 ,  2.68 ,  2.76 ,  1.78 ,  1.23 ,  3.07 ,  4.69 ,  4.43 ,  4.81 ,  4.04 ,  4.60 ,  3.42 
73,  2.45 ,  2.44 ,  2.46 ,  1.50 ,  1.02 ,  2.59 ,  4.27 ,  4.01 ,  4.38 ,  3.85 ,  4.20 ,  3.46 
74,  2.91 ,  2.90 ,  2.92 ,  1.91 ,  1.33 ,  3.13 ,  4.78 ,  4.48 ,  4.90 ,  4.22 ,  4.68 ,  3.65 
75,  2.66 ,  2.75 ,  2.53 ,  1.68 ,  1.12 ,  2.85 ,  4.41 ,  4.22 ,  4.49 ,  3.76 ,  3.99 ,  3.49 
76,  1.97 ,  1.96 ,  1.97 ,  1.19 ,  0.74 ,  2.08 ,  3.28 ,  3.01 ,  3.38 ,  2.73 ,  2.96 ,  2.44 
77,  1.69 ,  1.70 ,  1.68 ,  1.02 ,  0.62 ,  1.77 ,  2.69 ,  2.33 ,  2.83 ,  2.36 ,  2.60 ,  2.06 
78,  1.57 ,  1.57 ,  1.56 ,  0.96 ,  0.58 ,  1.62 ,  2.45 ,  2.46 ,  2.44 ,  2.11 ,  2.31 ,  1.85 
79,  1.67 ,  1.68 ,  1.64 ,  1.01 ,  0.58 ,  1.73 ,  2.50 ,  2.38 ,  2.55 ,  2.27 ,  2.46 ,  2.03 
80,  1.51 ,  1.50 ,  1.53 ,  0.97 ,  0.56 ,  1.61 ,  2.16 ,  2.12 ,  2.18 ,  2.04 ,  2.23 ,  1.80 
81,  1.51 ,  1.47 ,  1.57 ,  0.90 ,  0.49 ,  1.52 ,  2.13 ,  2.05 ,  2.17 ,  2.15 ,  2.05 ,  2.28 
82,  1.45 ,  1.36 ,  1.59 ,  0.84 ,  0.47 ,  1.38 ,  1.91 ,  1.82 ,  1.95 ,  2.18 ,  2.25 ,  2.07 
83,  1.56 ,  1.51 ,  1.65 ,  1.00 ,  0.60 ,  1.53 ,  1.98 ,  1.80 ,  2.04 ,  2.23 ,  2.12 ,  2.38 
84,  1.79 ,  1.79 ,  1.80 ,  1.18 ,  0.69 ,  1.80 ,  2.25 ,  2.12 ,  2.29 ,  2.42 ,  2.35 ,  2.52 
85,  2.60 ,  2.72 ,  2.42 ,  2.02 ,  1.40 ,  2.77 ,  3.00 ,  2.82 ,  3.06 ,  3.13 ,  3.14 ,  3.13 
86,  2.72 ,  2.94 ,  2.37 ,  2.45 ,  1.77 ,  3.25 ,  3.02 ,  2.89 ,  3.06 ,  2.76 ,  2.85 ,  2.63 
