年份,總計,印尼,菲律賓,泰國,越南,其他,印尼,菲律賓,泰國,越南,其他,印尼,菲律賓,泰國,越南,其他,台灣
2002,303684,11722,48203,108805,14210,33,81490,21223,2733,15263,2,93212,69426,111538,29473,35,9969
2003,300150,8546,52008,101767,17206,25,47891,29347,2961,40397,2,56437,81355,104728,57603,27,10076
2004,314034,5824,56704,101948,18458,33,21457,34446,3333,71783,48,27281,91150,105281,90241,81,10240
2005,327396,7188,60656,95265,20229,43,41906,35047,3057,63956,49,49094,95703,98322,84185,92,10371
2006,338755,9646,60947,90576,23769,32,75577,29107,2318,46767,16,85223,90054,92894,70536,48,10522
2007,357937,13871,62054,85129,34629,26,101619,24369,1819,34414,7,115490,86423,86948,69043,33,10713
2008,365060,16650,57742,74080,48148,13,111114,22894,1504,32912,3,127764,80636,75584,81060,16,10853
2009,351016,18346,49401,60137,48179,10,121058,22676,1295,29914,0,139404,72077,61432,78093,10,10917
2010,379653,21313,54218,64516,53488,10,135019,23320,1226,26542,1,156332,77538,65742,80030,11,11070
2011,425660,27329,59824,70695,69955,3,148080,23017,1068,25688,1,175409,82841,71763,95643,4,11200
2012,445579,33724,63865,66741,78551,4,157403,22921,870,21499,1,191127,86786,67611,100050,5,11341
2013,489134,45919,67442,60964,104590,4,167315,21582,745,20572,1,213234,89024,61709,125162,5,11445
2014,551596,54907,86749,59267,130658,4,174584,24784,666,19974,3,229491,111533,59933,150632,7,11535
2015,587940,59261,95445,57815,151062,1,177265,27613,557,18919,2,236526,123058,58372,169981,3,11638
2016,624768,61645,105529,58309,161993,1,183535,30268,560,22927,1,245180,135797,58869,184920,2,11727
2017,639326,64120,109053,59114,164641,1,186983,30919,551,23944,0,251103,139972,59665,188585,1,
