年份,總計,0~4歲,5~9歲,10~14歲,15~19歲,20~24歲,25~29歲,30~34歲,35~39歲,40~44歲,45~49歲,50~54歲,55~59歲,60~64歲,65~69歲,70~74歲,75~79歲,80~84歲,85~89歲,90~94歲,95~99歲,100歲以上,老年比例,老年人口,出生率,出生人數
1974,15927167,1802339,1941816,2023235,1906267,1678144,1061463,951114,875082,841467,814466,647275,464547,382621,251425,152219,81489,35080,17118,(85歲以上),,,0.034,537331,0.02342 ,"369,671"
1975,16223089,1792451,1927927,2017243,1926987,1756823,1191173,916547,896818,834221,835036,678189,487078,394528,263708,162314,87099,37396,13380,4171,0,,0.035,568068,0.02298 ,"369,349"
1976,16579737,1831226,1905522,2017738,1947800,1794759,1358388,896646,919799,826968,843300,704252,524442,405372,278641,172900,94052,39657,13982,4293,0,,0.036,603525,0.02592 ,"425,125"
1977,16882053,1863447,1892727,1979111,1986478,1820647,1480909,916254,928238,834077,840890,729318,554188,408745,302779,182580,100277,41950,14801,4637,0,,0.038,647024,0.02375 ,"397,373"
1978,17202491,1911156,1863096,1953093,2008570,1859320,1577574,964312,940548,844504,830761,762999,581168,419003,322538,193253,103723,46458,15590,4825,0,,0.040,686387,0.02410 ,"410,783"
1979,17543067,1965802,1838232,1936675,2013825,1899480,1658205,1047011,938976,860684,823132,790881,611983,430398,338551,207089,110593,49748,16600,5202,0,,0.041,727783,0.02441 ,"424,034"
1980,17866008,1997423,1818311,1923514,2007132,1921838,1735025,1174823,907198,886526,817873,811082,645616,453507,351496,218156,119029,53811,18243,5405,0,,0.043,766140,0.02338 ,"413,881"
1981,18193955,1992998,1864939,1896420,2003755,1939667,1772888,1340681,886566,906604,810232,818255,670515,487590,360647,231598,127415,58243,19214,5728,0,,0.044,802845,0.02297 ,"414,069"
1982,18515754,2005926,1894316,1885114,1969094,1979551,1804082,1464372,908331,915333,817447,817015,696507,516439,364797,252357,135741,62761,20438,6133,0,,0.045,842227,0.02208 ,"405,263"
1983,18790538,1988677,1942236,1859001,1943319,1998175,1837932,1558973,953987,926155,825855,807131,728810,540934,373494,269149,142793,64985,22588,6344,0,,0.047,879353,0.02056 ,"383,439"
1984,19069194,1929414,1996895,1832008,1926126,2006186,1878505,1639902,1036697,926377,844159,800224,756448,570673,385983,284281,153929,69949,24584,6854,0,,0.049,925580,0.01960 ,"371,008"
1985,19313825,1866549,2035953,1813642,1912260,1999571,1898036,1713055,1159452,894682,868347,795314,776164,603745,406715,294671,164130,76551,27452,7536,0,,0.051,977055,0.01804 ,"346,208"
1986,19509082,1777521,2021972,1859173,1882543,1994322,1913815,1745615,1314369,878310,889717,790208,783297,627678,437895,302798,172868,80452,28774,7755,0,,0.053,1030542,0.01593 ,"309,230"
1987,19725010,1684379,2029602,1886617,1872408,1960854,1948272,1768454,1430984,901802,903857,802202,786726,655426,467117,309632,190184,86581,31433,8480,0,,0.055,1093427,0.01601 ,"314,024"
1988,19954397,1643894,2004593,1930385,1846493,1937671,1969663,1809836,1530050,945091,914310,812147,778968,685509,489410,319667,202989,91266,33041,9414,0,,0.057,1145787,0.01724 ,"342,031"
1989,20156587,1606605,1955602,1980990,1818652,1918760,1975360,1846137,1606595,1022313,915500,827488,771386,709878,515006,328513,214093,98274,35392,10043,0,,0.060,1201321,0.01572 ,"315,299"
1990,20401305,1613288,1893288,2018789,1796472,1902136,1974557,1871518,1684644,1145237,887542,851976,765281,727946,546450,346810,222946,103599,38266,10560,0,,0.062,1268631,0.01655 ,"335,618"
1991,20605831,1623446,1794009,2009695,1840047,1871602,1965733,1889119,1720569,1299350,873267,873650,760501,739414,571441,376177,232334,111908,41650,11919,0,,0.065,1345429,0.01570 ,"321,932"
1992,20802622,1629553,1708725,2023069,1864578,1859677,1933959,1924575,1749763,1415342,887387,882182,770190,737489,594180,400066,239016,124816,44569,11394,1801,291,0.068,1416133,0.01553 ,"321,632"
1993,20995416,1614598,1669798,1995309,1906190,1831670,1911217,1945458,1789101,1512385,927945,891163,778101,731680,624985,421222,247103,135716,47089,12237,2069,380,0.071,1490801,0.01558 ,"325,613"
