dataset,period,frequency,measure,value,source,row,column,status
wages,2012,annual,mean,37195,indicators.xls,7,24,published
wages,2012,annual,median,,wages.ods,,,not-in-source
wages,2013,annual,mean,37557,indicators.xls,8,24,published
wages,2013,annual,median,,wages.ods,,,not-in-source
wages,2014,annual,mean,38220,indicators.xls,9,24,published
wages,2014,annual,median,,wages.ods,,,not-in-source
wages,2015,annual,mean,38717,indicators.xls,10,24,published
wages,2015,annual,median,,wages.ods,,,not-in-source
wages,2016,annual,mean,39217,indicators.xls,11,24,published
wages,2016,annual,median,,wages.ods,,,not-in-source
wages,2017,annual,mean,39937,indicators.xls,12,24,published
wages,2017,annual,median,,wages.ods,,,not-in-source
wages,2018,annual,mean,40949,indicators.xls,13,24,published
wages,2018,annual,median,,wages.ods,,,not-in-source
wages,2019,annual,mean,41700,indicators.xls,14,24,published
wages,2019,annual,median,,wages.ods,,,not-in-source
wages,2020,annual,mean,42281,wages.ods,5,2,published
wages,2020,annual,median,33910,wages.ods,6,2,published
wages,2021,annual,mean,43045,wages.ods,8,2,published
wages,2021,annual,median,34531,wages.ods,9,2,published
wages,2022,annual,mean,44210,wages.ods,11,2,published
wages,2022,annual,median,35167,wages.ods,12,2,published
wages,2023,annual,mean,45197,wages.ods,14,2,published
wages,2023,annual,median,36085,wages.ods,15,2,published
wages,2024,annual,mean,46450,wages.ods,17,2,published
wages,2024,annual,median,37275,wages.ods,18,2,published
wages,2025,annual,mean,47885,wages.ods,20,2,published
wages,2025,annual,median,38407,wages.ods,21,2,published
indicators,2012,annual,cpi,1.93,indicators.xls,7,19,published
indicators,2012,annual,minimum,18780,indicators.xls,7,20,published
indicators,2012,annual,hourlyMinimum,103,indicators.xls,7,21,published
indicators,2012,annual,totalSalary,46075,indicators.xls,7,22,published
indicators,2012,annual,mean,37195,indicators.xls,7,24,published
indicators,2012,annual,hours,178.4,indicators.xls,7,30,published
indicators,2012,annual,normalHours,170.4,indicators.xls,7,32,published
indicators,2013,annual,cpi,0.8,indicators.xls,8,19,published
indicators,2013,annual,minimum,19047,indicators.xls,8,20,published
indicators,2013,annual,hourlyMinimum,109,indicators.xls,8,21,published
indicators,2013,annual,totalSalary,46087,indicators.xls,8,22,published
indicators,2013,annual,mean,37557,indicators.xls,8,24,published
indicators,2013,annual,hours,177,indicators.xls,8,30,published
indicators,2013,annual,normalHours,168.6,indicators.xls,8,32,published
indicators,2014,annual,cpi,1.2,indicators.xls,9,19,published
indicators,2014,annual,minimum,19273,indicators.xls,9,20,published
indicators,2014,annual,hourlyMinimum,115,indicators.xls,9,21,published
indicators,2014,annual,totalSalary,47744,indicators.xls,9,22,published
indicators,2014,annual,mean,38220,indicators.xls,9,24,published
indicators,2014,annual,hours,177.9,indicators.xls,9,30,published
indicators,2014,annual,normalHours,169.3,indicators.xls,9,32,published
indicators,2015,annual,cpi,-0.31,indicators.xls,10,19,published
indicators,2015,annual,minimum,20008,indicators.xls,10,20,published
indicators,2015,annual,hourlyMinimum,120,indicators.xls,10,21,published
indicators,2015,annual,totalSalary,48956,indicators.xls,10,22,published
indicators,2015,annual,mean,38717,indicators.xls,10,24,published
indicators,2015,annual,hours,175.4,indicators.xls,10,30,published
indicators,2015,annual,normalHours,167.1,indicators.xls,10,32,published
indicators,2016,annual,cpi,1.4,indicators.xls,11,19,published
indicators,2016,annual,minimum,20008,indicators.xls,11,20,published
indicators,2016,annual,hourlyMinimum,126,indicators.xls,11,21,published
indicators,2016,annual,totalSalary,49257,indicators.xls,11,22,published
indicators,2016,annual,mean,39217,indicators.xls,11,24,published
indicators,2016,annual,hours,169.6,indicators.xls,11,30,published
indicators,2016,annual,normalHours,161.1,indicators.xls,11,32,published
indicators,2017,annual,cpi,0.62,indicators.xls,12,19,published
indicators,2017,annual,minimum,21009,indicators.xls,12,20,published
indicators,2017,annual,hourlyMinimum,133,indicators.xls,12,21,published
indicators,2017,annual,totalSalary,50634,indicators.xls,12,22,published
indicators,2017,annual,mean,39937,indicators.xls,12,24,published
indicators,2017,annual,hours,169.5,indicators.xls,12,30,published
indicators,2017,annual,normalHours,161.6,indicators.xls,12,32,published
indicators,2018,annual,cpi,1.36,indicators.xls,13,19,published
indicators,2018,annual,minimum,22000,indicators.xls,13,20,published
indicators,2018,annual,hourlyMinimum,140,indicators.xls,13,21,published
indicators,2018,annual,totalSalary,52468,indicators.xls,13,22,published
indicators,2018,annual,mean,40949,indicators.xls,13,24,published
indicators,2018,annual,hours,169.4,indicators.xls,13,30,published
indicators,2018,annual,normalHours,161.4,indicators.xls,13,32,published
indicators,2019,annual,cpi,0.55,indicators.xls,14,19,published
indicators,2019,annual,minimum,23100,indicators.xls,14,20,published
indicators,2019,annual,hourlyMinimum,150,indicators.xls,14,21,published
indicators,2019,annual,totalSalary,53551,indicators.xls,14,22,published
indicators,2019,annual,mean,41700,indicators.xls,14,24,published
indicators,2019,annual,hours,168.8,indicators.xls,14,30,published
indicators,2019,annual,normalHours,161.1,indicators.xls,14,32,published
indicators,2020,annual,cpi,-0.23,indicators.xls,15,19,published
indicators,2020,annual,minimum,23800,indicators.xls,15,20,published
indicators,2020,annual,hourlyMinimum,158,indicators.xls,15,21,published
indicators,2020,annual,totalSalary,54278,indicators.xls,15,22,published
indicators,2020,annual,mean,42281,indicators.xls,15,24,published
indicators,2020,annual,hours,168.3,indicators.xls,15,30,published
indicators,2020,annual,normalHours,161,indicators.xls,15,32,published
indicators,2021,annual,cpi,1.97,indicators.xls,16,19,published
indicators,2021,annual,minimum,24000,indicators.xls,16,20,published
indicators,2021,annual,hourlyMinimum,160,indicators.xls,16,21,published
indicators,2021,annual,totalSalary,56127,indicators.xls,16,22,published
indicators,2021,annual,mean,43045,indicators.xls,16,24,published
indicators,2021,annual,hours,166.6,indicators.xls,16,30,published
indicators,2021,annual,normalHours,158.7,indicators.xls,16,32,published
indicators,2022,annual,cpi,2.95,indicators.xls,17,19,published
indicators,2022,annual,minimum,25250,indicators.xls,17,20,published
indicators,2022,annual,hourlyMinimum,168,indicators.xls,17,21,published
indicators,2022,annual,totalSalary,58042,indicators.xls,17,22,published
indicators,2022,annual,mean,44210,indicators.xls,17,24,published
indicators,2022,annual,hours,167.1,indicators.xls,17,30,published
indicators,2022,annual,normalHours,159.4,indicators.xls,17,32,published
indicators,2023,annual,cpi,2.49,indicators.xls,18,19,published
indicators,2023,annual,minimum,26400,indicators.xls,18,20,published
indicators,2023,annual,hourlyMinimum,176,indicators.xls,18,21,published
indicators,2023,annual,totalSalary,58420,indicators.xls,18,22,published
indicators,2023,annual,mean,45197,indicators.xls,18,24,published
indicators,2023,annual,hours,168.3,indicators.xls,18,30,published
indicators,2023,annual,normalHours,160.3,indicators.xls,18,32,published
indicators,2024,annual,cpi,2.18,indicators.xls,19,19,published
indicators,2024,annual,minimum,27470,indicators.xls,19,20,published
indicators,2024,annual,hourlyMinimum,183,indicators.xls,19,21,published
indicators,2024,annual,totalSalary,61002,indicators.xls,19,22,published
indicators,2024,annual,mean,46450,indicators.xls,19,24,published
indicators,2024,annual,hours,169.2,indicators.xls,19,30,published
indicators,2024,annual,normalHours,160.7,indicators.xls,19,32,published
indicators,2025,annual,cpi,1.66,indicators.xls,20,19,published
indicators,2025,annual,minimum,28590,indicators.xls,20,20,published
indicators,2025,annual,hourlyMinimum,190,indicators.xls,20,21,published
indicators,2025,annual,totalSalary,63383,indicators.xls,20,22,published
indicators,2025,annual,mean,47885,indicators.xls,20,24,published
indicators,2025,annual,hours,168.9,indicators.xls,20,30,published
indicators,2025,annual,normalHours,160.1,indicators.xls,20,32,published
unemployment,2012,annual,total,4.24,unemployment.xls,8,3,published
unemployment,2012,annual,youth,12.66,unemployment.xls,8,11,published
unemployment,2012,annual,male,4.49,unemployment.xls,8,15,published
unemployment,2012,annual,female,3.92,unemployment.xls,8,16,published
unemployment,2013,annual,total,4.18,unemployment.xls,9,3,published
unemployment,2013,annual,youth,13.17,unemployment.xls,9,11,published
unemployment,2013,annual,male,4.47,unemployment.xls,9,15,published
unemployment,2013,annual,female,3.8,unemployment.xls,9,16,published
unemployment,2014,annual,total,3.96,unemployment.xls,10,3,published
unemployment,2014,annual,youth,12.63,unemployment.xls,10,11,published
unemployment,2014,annual,male,4.27,unemployment.xls,10,15,published
unemployment,2014,annual,female,3.56,unemployment.xls,10,16,published
unemployment,2015,annual,total,3.78,unemployment.xls,11,3,published
unemployment,2015,annual,youth,12.05,unemployment.xls,11,11,published
unemployment,2015,annual,male,4.05,unemployment.xls,11,15,published
unemployment,2015,annual,female,3.44,unemployment.xls,11,16,published
unemployment,2016,annual,total,3.92,unemployment.xls,12,3,published
unemployment,2016,annual,youth,12.12,unemployment.xls,12,11,published
unemployment,2016,annual,male,4.19,unemployment.xls,12,15,published
unemployment,2016,annual,female,3.57,unemployment.xls,12,16,published
unemployment,2017,annual,total,3.76,unemployment.xls,13,3,published
unemployment,2017,annual,youth,11.92,unemployment.xls,13,11,published
unemployment,2017,annual,male,4,unemployment.xls,13,15,published
unemployment,2017,annual,female,3.45,unemployment.xls,13,16,published
unemployment,2018,annual,total,3.71,unemployment.xls,14,3,published
unemployment,2018,annual,youth,11.54,unemployment.xls,14,11,published
unemployment,2018,annual,male,3.89,unemployment.xls,14,15,published
unemployment,2018,annual,female,3.48,unemployment.xls,14,16,published
unemployment,2019,annual,total,3.73,unemployment.xls,15,3,published
unemployment,2019,annual,youth,11.88,unemployment.xls,15,11,published
unemployment,2019,annual,male,3.85,unemployment.xls,15,15,published
unemployment,2019,annual,female,3.58,unemployment.xls,15,16,published
unemployment,2020,annual,total,3.85,unemployment.xls,16,3,published
unemployment,2020,annual,youth,11.61,unemployment.xls,16,11,published
unemployment,2020,annual,male,3.92,unemployment.xls,16,15,published
unemployment,2020,annual,female,3.76,unemployment.xls,16,16,published
unemployment,2021,annual,total,3.95,unemployment.xls,17,3,published
unemployment,2021,annual,youth,12.11,unemployment.xls,17,11,published
unemployment,2021,annual,male,3.98,unemployment.xls,17,15,published
unemployment,2021,annual,female,3.92,unemployment.xls,17,16,published
unemployment,2022,annual,total,3.67,unemployment.xls,18,3,published
unemployment,2022,annual,youth,11.97,unemployment.xls,18,11,published
unemployment,2022,annual,male,3.68,unemployment.xls,18,15,published
unemployment,2022,annual,female,3.64,unemployment.xls,18,16,published
unemployment,2023,annual,total,3.48,unemployment.xls,19,3,published
unemployment,2023,annual,youth,11.39,unemployment.xls,19,11,published
unemployment,2023,annual,male,3.49,unemployment.xls,19,15,published
unemployment,2023,annual,female,3.47,unemployment.xls,19,16,published
unemployment,2024,annual,total,3.38,unemployment.xls,20,3,published
unemployment,2024,annual,youth,11.27,unemployment.xls,20,11,published
unemployment,2024,annual,male,3.37,unemployment.xls,20,15,published
unemployment,2024,annual,female,3.4,unemployment.xls,20,16,published
unemployment,2025,annual,total,3.35,unemployment.xls,21,3,published
unemployment,2025,annual,youth,11.32,unemployment.xls,21,11,published
unemployment,2025,annual,male,3.37,unemployment.xls,21,15,published
unemployment,2025,annual,female,3.33,unemployment.xls,21,16,published
migrants,2012,annual,"{'value': 242885, 'source': 'migrants.xls', 'row': 8, 'column': 6, 'status': 'published'}",445579,migrants.xls,8,4,published
migrants,2012,annual,"{'value': 242885, 'source': 'migrants.xls', 'row': 8, 'column': 6, 'status': 'published'}",445579,migrants.xls,8,5,published
migrants,2012,annual,"{'value': 242885, 'source': 'migrants.xls', 'row': 8, 'column': 6, 'status': 'published'}",242885,migrants.xls,8,6,published
migrants,2012,annual,"{'value': 242885, 'source': 'migrants.xls', 'row': 8, 'column': 6, 'status': 'published'}",202694,migrants.xls,8,12,published
migrants,2012,annual,"{'value': 242885, 'source': 'migrants.xls', 'row': 8, 'column': 6, 'status': 'published'}",0,migrants.xls,8,18,published
migrants,2012,annual,"{'value': 242885, 'source': 'migrants.xls', 'row': 8, 'column': 6, 'status': 'published'}",33724,migrants.xls,8,7,published
migrants,2012,annual,"{'value': 242885, 'source': 'migrants.xls', 'row': 8, 'column': 6, 'status': 'published'}",63865,migrants.xls,8,8,published
